spot_id,timestamp,latitude,longitude,area,is_shaded,is_near_entrance,time_of_day,status,is_handicap_accessible,has_camera_surveillance,is_ev_friendly,price_per_hour,max_duration
A1,2025-04-09 12:51:00,30.060332762685412,31.626932543507603,Madinaty,1,0,afternoon,1,0,0,0,12.5,17
A2,2025-04-05 17:15:00,30.064440078838338,31.643270017695578,Madinaty,1,0,evening,0,1,1,1,16.2,19
A3,2025-04-16 08:04:00,30.077311043436485,31.64102115049376,Madinaty,0,1,morning,1,0,0,1,13.44,12
A4,2025-04-11 03:48:00,30.076043703733884,31.64431939123402,Madinaty,0,1,night,0,0,1,1,6.25,20
A5,2025-04-03 19:18:00,30.062550412810978,31.6318626883311,Madinaty,0,0,evening,0,0,1,0,7.78,23
A6,2025-04-20 13:09:00,30.069207549892802,31.644916021607706,Madinaty,1,1,afternoon,1,1,0,1,8.29,5
A7,2025-04-23 14:25:00,30.073566720322724,31.644670678544802,Madinaty,0,0,afternoon,1,0,1,1,8.87,12
A8,2025-04-24 22:27:00,30.065393820051565,31.645182917996518,Madinaty,0,1,night,0,0,1,0,13.48,16
A9,2025-04-04 04:03:00,30.07572766271407,31.63578059984535,Madinaty,1,0,night,1,0,0,0,12.56,1
A10,2025-04-26 09:01:00,30.061483682452963,31.63150838932647,Madinaty,1,1,morning,1,1,0,0,8.05,2
A11,2025-04-26 22:36:00,30.060820071323874,31.648864253400667,Madinaty,0,1,night,0,0,0,0,6.01,10
A12,2025-04-18 03:01:00,30.061498797938608,31.64398181458977,Madinaty,1,1,night,1,0,0,1,7.57,2
A13,2025-04-16 04:25:00,30.064892868994086,31.64255422719135,Madinaty,1,1,night,0,0,1,0,19.77,10
A14,2025-04-12 18:36:00,30.06826073740062,31.647148672838508,Madinaty,1,1,evening,1,0,0,1,12.03,23
A15,2025-04-15 01:26:00,30.07460732805076,31.64910021018666,Madinaty,1,1,night,1,1,0,0,18.01,18
A16,2025-04-10 11:28:00,30.06084513200468,31.637499312144488,Madinaty,0,0,morning,0,0,0,0,17.73,1
A17,2025-04-21 15:00:00,30.065367472123523,31.641032826911147,Madinaty,0,0,afternoon,0,1,0,1,12.67,5
A18,2025-04-30 03:48:00,30.06124630417608,31.63794185208523,Madinaty,0,0,night,1,1,0,1,15.6,12
A19,2025-04-27 12:11:00,30.064691772613624,31.63182266063395,Madinaty,1,1,afternoon,1,1,1,1,7.89,17
A20,2025-04-09 01:10:00,30.062876417589074,31.630897765690687,Madinaty,0,0,night,1,0,0,0,15.33,19
A21,2025-04-21 13:59:00,30.06745032510441,31.630817533962915,Madinaty,1,1,afternoon,1,1,1,0,9.09,18
A22,2025-04-27 01:23:00,30.061399246449415,31.641304780957395,Madinaty,1,1,night,0,0,0,1,17.48,13
A23,2025-04-10 23:07:00,30.062156316825135,31.640025524529026,Madinaty,1,0,night,0,1,0,1,6.26,22
A24,2025-04-08 07:33:00,30.073763702752643,31.644385278683888,Madinaty,1,0,morning,1,1,0,0,16.6,3
A25,2025-04-05 05:54:00,30.072463340530525,31.647828350277955,Madinaty,1,0,night,0,1,0,1,6.5,21
A26,2025-04-29 00:36:00,30.064578579124053,31.644446286867446,Madinaty,1,0,night,0,1,0,1,18.22,10
A27,2025-04-07 05:56:00,30.061926066960467,31.63348751324851,Madinaty,1,0,night,1,1,0,0,9.56,14
A28,2025-04-13 23:41:00,30.064963003003882,31.634603802680473,Madinaty,0,1,night,0,1,0,1,14.82,8
A29,2025-04-22 06:16:00,30.064284436452123,31.642449752401706,Madinaty,1,0,morning,1,1,0,0,12.31,10
A30,2025-04-29 16:08:00,30.073570685974182,31.63064608868773,Madinaty,1,0,afternoon,0,1,1,0,10.49,2
A31,2025-04-13 02:09:00,30.071973511428368,31.642556754517948,Madinaty,1,0,night,0,0,0,0,14.68,13
A32,2025-04-02 21:57:00,30.05950208482209,31.643360982287483,Madinaty,0,0,night,0,0,1,1,19.21,5
A33,2025-04-28 05:03:00,30.075906115170866,31.630451633042348,Madinaty,1,0,night,0,1,0,1,5.62,11
A34,2025-04-28 10:02:00,30.067577821118608,31.632135182904246,Madinaty,1,1,morning,0,1,1,1,18.78,1
A35,2025-04-25 13:35:00,30.06445999938443,31.637903402208824,Madinaty,0,1,afternoon,0,1,0,1,14.14,10
A36,2025-04-24 15:17:00,30.06434064414597,31.640486730945316,Madinaty,0,1,afternoon,0,0,0,0,17.11,13
A37,2025-04-07 00:33:00,30.07344878577321,31.649952934180217,Madinaty,1,1,night,0,1,0,0,10.76,4
A38,2025-04-02 18:20:00,30.067087616400144,31.649715464626794,Madinaty,0,0,evening,0,0,1,1,12.08,21
A39,2025-04-16 05:00:00,30.06191308392521,31.653329213863305,Madinaty,1,1,night,1,0,1,1,18.03,10
A40,2025-04-25 00:19:00,30.0610222462065,31.62598699966817,Madinaty,1,0,night,0,0,1,1,11.22,12
A41,2025-04-29 13:02:00,30.073262797244247,31.631429868659755,Madinaty,0,0,afternoon,0,0,1,1,13.02,14
A42,2025-04-13 11:57:00,30.069616225835404,31.642443644456225,Madinaty,1,1,morning,1,0,0,0,5.3,3
A43,2025-04-25 12:55:00,30.075674235265282,31.63456141286158,Madinaty,1,0,afternoon,1,1,0,1,7.38,2
A44,2025-04-17 00:15:00,30.065219468718944,31.63696079277177,Madinaty,0,0,night,1,1,0,0,14.63,19
A45,2025-04-30 21:53:00,30.065416705960402,31.64080230472848,Madinaty,0,0,night,1,1,1,1,15.75,11
A46,2025-04-09 08:57:00,30.074466591210896,31.637812988418617,Madinaty,0,1,morning,1,1,0,1,13.74,21
A47,2025-04-03 10:58:00,30.06996824829286,31.64250809791939,Madinaty,1,0,morning,0,1,1,1,7.15,7
A48,2025-04-23 22:30:00,30.075557942740858,31.64183105012226,Madinaty,1,1,night,1,0,1,0,11.68,18
A49,2025-04-05 22:03:00,30.07519358535249,31.641794016848678,Madinaty,0,1,night,1,1,1,1,10.33,14
A50,2025-04-25 16:07:00,30.0634316384933,31.630346761289882,Madinaty,0,1,afternoon,1,1,1,0,12.43,7
A51,2025-04-30 09:57:00,30.075508485273584,31.63180408834074,Madinaty,1,1,morning,1,0,1,0,18.05,22
A52,2025-04-03 08:26:00,30.076607429865945,31.652133671076346,Madinaty,0,0,morning,1,1,0,1,16.64,7
A53,2025-04-01 15:22:00,30.059461317732545,31.647890315649043,Madinaty,1,1,afternoon,1,0,1,0,6.26,23
A54,2025-04-17 05:09:00,30.075048205981574,31.64665829525558,Madinaty,1,1,night,1,1,1,0,18.35,9
A55,2025-04-30 12:36:00,30.07458904661557,31.62590570537749,Madinaty,0,1,afternoon,0,0,0,0,12.08,23
A56,2025-05-01 02:04:00,30.072165560210433,31.639857401880953,Madinaty,1,0,night,0,1,1,1,16.16,12
A57,2025-04-04 11:29:00,30.065585176994915,31.645518328426306,Madinaty,0,0,morning,0,1,1,0,7.1,6
A58,2025-04-16 20:31:00,30.063108870530275,31.6337815131446,Madinaty,0,1,evening,0,0,0,0,15.06,7
A59,2025-04-28 23:45:00,30.06859912653413,31.632469049702923,Madinaty,0,1,night,1,0,0,1,8.54,22
A60,2025-04-20 18:02:00,30.060402892580296,31.631644875359775,Madinaty,1,0,evening,0,0,0,1,11.58,4
A61,2025-04-11 08:39:00,30.06401060184378,31.643664598615782,Madinaty,0,0,morning,1,0,1,0,5.25,16
A62,2025-04-11 07:04:00,30.065816130133484,31.630168915532135,Madinaty,0,1,morning,0,0,0,0,7.27,7
A63,2025-04-26 11:43:00,30.061178491123705,31.633786188405082,Madinaty,0,1,morning,1,0,0,0,6.38,8
A64,2025-04-18 15:39:00,30.074636507504408,31.639055612555286,Madinaty,0,0,afternoon,1,0,0,0,8.6,8
A65,2025-04-12 16:02:00,30.075536240687192,31.631956923283816,Madinaty,1,0,afternoon,1,0,1,1,6.5,20
A66,2025-04-16 16:48:00,30.07239946516446,31.633992437053024,Madinaty,1,1,afternoon,1,1,0,1,15.38,3
A67,2025-04-22 04:32:00,30.066082516540373,31.645149130827694,Madinaty,1,0,night,0,1,1,0,5.44,9
A68,2025-04-04 03:40:00,30.075569722821587,31.630492819997485,Madinaty,1,0,night,0,0,1,1,14.27,19
A69,2025-04-27 06:34:00,30.076264303187816,31.650429387998916,Madinaty,0,0,morning,0,1,0,0,7.11,13
A70,2025-04-12 23:03:00,30.071774128558857,31.653965240387773,Madinaty,0,1,night,0,1,1,1,19.18,7
A71,2025-04-07 17:52:00,30.07416386319744,31.650782025026807,Madinaty,1,0,evening,0,1,1,1,19.0,20
A72,2025-04-06 14:25:00,30.067080042299814,31.62937963308278,Madinaty,1,0,afternoon,1,1,0,0,8.38,21
A73,2025-04-25 19:39:00,30.07272150716202,31.64999711617185,Madinaty,1,0,evening,0,0,1,0,14.22,15
A74,2025-04-16 10:36:00,30.063023426261527,31.6449429537581,Madinaty,0,0,morning,1,1,0,0,5.42,19
