,spot_id,timestamp,latitude,longitude,area,is_shaded,is_near_entrance,time_of_day,status,is_handicap_accessible,has_camera_surveillance,is_ev_friendly,price_per_hour,max_duration,id
0,A1,2025-04-09 12:51:00,30.06033276268541,31.626932543507603,Madinaty,1,0,afternoon,1,0,0,0,12.5,17,MAD-00000
1,A2,2025-04-05 17:15:00,30.064440078838334,31.643270017695578,Madinaty,1,0,evening,0,1,1,1,16.2,19,MAD-00001
2,A3,2025-04-16 08:04:00,30.077311043436485,31.64102115049376,Madinaty,0,1,morning,1,0,0,1,13.44,12,MAD-00002
3,A4,2025-04-11 03:48:00,30.076043703733884,31.64431939123402,Madinaty,0,1,night,0,0,1,1,6.25,20,MAD-00003
4,A5,2025-04-03 19:18:00,30.062550412810975,31.6318626883311,Madinaty,0,0,evening,0,0,1,0,7.78,23,MAD-00004
5,A6,2025-04-20 13:09:00,30.0692075498928,31.644916021607703,Madinaty,1,1,afternoon,1,1,0,1,8.29,5,MAD-00005
6,A7,2025-04-23 14:25:00,30.073566720322724,31.6446706785448,Madinaty,0,0,afternoon,1,0,1,1,8.87,12,MAD-00006
7,A8,2025-04-24 22:27:00,30.065393820051565,31.64518291799652,Madinaty,0,1,night,0,0,1,0,13.48,16,MAD-00007
8,A9,2025-04-04 04:03:00,30.07572766271407,31.63578059984535,Madinaty,1,0,night,1,0,0,0,12.56,1,MAD-00008
9,A10,2025-04-26 09:01:00,30.061483682452963,31.63150838932647,Madinaty,1,1,morning,1,1,0,0,8.05,2,MAD-00009
10,A11,2025-04-26 22:36:00,30.060820071323874,31.648864253400667,Madinaty,0,1,night,0,0,0,0,6.01,10,MAD-00010
11,A12,2025-04-18 03:01:00,30.061498797938608,31.64398181458977,Madinaty,1,1,night,1,0,0,1,7.57,2,MAD-00011
12,A13,2025-04-16 04:25:00,30.06489286899409,31.64255422719135,Madinaty,1,1,night,0,0,1,0,19.77,10,MAD-00012
13,A14,2025-04-12 18:36:00,30.06826073740062,31.647148672838508,Madinaty,1,1,evening,1,0,0,1,12.03,23,MAD-00013
14,A15,2025-04-15 01:26:00,30.07460732805076,31.64910021018666,Madinaty,1,1,night,1,1,0,0,18.01,18,MAD-00014
15,A16,2025-04-10 11:28:00,30.06084513200468,31.637499312144488,Madinaty,0,0,morning,0,0,0,0,17.73,1,MAD-00015
16,A17,2025-04-21 15:00:00,30.065367472123523,31.641032826911147,Madinaty,0,0,afternoon,0,1,0,1,12.67,5,MAD-00016
17,A18,2025-04-30 03:48:00,30.06124630417608,31.63794185208523,Madinaty,0,0,night,1,1,0,1,15.6,12,MAD-00017
18,A19,2025-04-27 12:11:00,30.064691772613624,31.63182266063395,Madinaty,1,1,afternoon,1,1,1,1,7.89,17,MAD-00018
19,A20,2025-04-09 01:10:00,30.062876417589077,31.630897765690687,Madinaty,0,0,night,1,0,0,0,15.33,19,MAD-00019
20,A21,2025-04-21 13:59:00,30.06745032510441,31.630817533962915,Madinaty,1,1,afternoon,1,1,1,0,9.09,18,MAD-00020
21,A22,2025-04-27 01:23:00,30.06139924644941,31.641304780957395,Madinaty,1,1,night,0,0,0,1,17.48,13,MAD-00021
